image_id,question,category,concise_prompt,n_descriptions_used
34,"Max has cut a rectangle into two pieces. One piece looks like:
<image1>
What does the other piece look like?
<image2>",combinatorial geometry,"Draw a diagram with two sections separated by a thick horizontal blue line. The top section contains the label ""<image1>:"" in blue and a single grey polygon with a flat bottom edge and a jagged top edge. The bottom section contains the label ""<image2>:"" in blue and five grey polygons labeled (A) to (E) in black, each with a flat bottom edge and a unique jagged top edge. Arrange the polygons in two rows, with (A) and (B) on top and (C), (D), and (E) on the bottom. Fill the polygons with light grey and outline them with thin black lines.",4
35,"Seven sticks lay on top of each other. Stick 2 lays right at the bottom. Stick 6 lays right on top. Which stick lays exactly in the middle?
<image1>",descriptive geometry,"Draw a 2D diagram of 7 overlapping rectangular sticks, each labeled with a unique number from 1 to 7, on a white background. The sticks should be arranged in a complex pattern with varying orientations, including horizontal, diagonal, and vertical, and should overlap each other to create a layered effect. Each stick should have a solid light gray fill and a thin black outline, with its corresponding label in black near one end. The sticks should be roughly similar in width, but vary in visible length, with no explicit measurements or values shown.",4
37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2>",combinatorial geometry,"Draw a diagram with two sections, labeled ""<image1>:"" at the top and ""<image2>:"" at the bottom, separated by a thin horizontal blue line. In the top section, draw a square with a thick solid black outline and a dashed grid inside, divided by a thick vertical solid line and two diagonals forming a sideways ""V"" shape. In the bottom section, draw five separate black-outlined polygons, each with a dashed grid, labeled (A) through (E) in black: (A) a symmetric hexagon-like shape, (B) a wide isosceles triangle, (C) a polygon with a V-shaped notch, (D) a complex concave polygon, and (E) a peaked polygon with a rectangular protrusion.",4
38,"Each of the digits 2, 3, 4 and 5 will be placed in a square. Then there will be two numbers, which will be added together. What is the biggest number that they could make?
<image1>",arithmetic,"Draw a diagram with 4 identical empty squares and a plus sign in the middle, arranged horizontally in a row. The squares are paired, with a small gap between each pair, and the plus sign is centered between the pairs. The squares have black outlines and the plus sign is solid black, on a white background.",4
39,"Ingrid has 4 red, 3 blue, 2 green and 1 yellow cube. She uses them to build the following object:
<image1>
Cubes with the same colour don't touch each other. Which colour is the cube with the question mark?",logic,"Draw a 3D stepped pyramid with 4 levels, containing 5, 4, 3, and 2 blocks from bottom to top. Label one block in the second row from the bottom with a question mark. Arrange the blocks to form a symmetrical, centered structure with each block showing a front face and some showing right-side and top faces. Use solid black lines on a white background.",4
40,"Which shape cannot be seen in every picture?
<image1>",combinatorial geometry,"Draw a diagram with 4 rectangular frames in the top row, each containing a mix of solid-colored shapes (red circles, blue triangles, and green rectangles) in various sizes. Below, draw a row of 5 labeled options (A to E) with a single shape each: a small red circle, a large red circle, a small blue triangle, a green rectangle, and a large blue triangle. Use solid colors, black outlines, and a white background.",4
42,"Which part of the house is missing?
<image1>
<image2>",combinatorial geometry,"Draw a two-part diagram on a white background, separated by a horizontal blue line. The top part contains a large, stylized house made of interlocking puzzle pieces, with a base, main body, window, and irregular roof, topped by a fan-like structure. The bottom part contains five separate, irregularly shaped puzzle pieces labeled (A) through (E) in black text, arranged horizontally from left to right. Include blue text labels ""<image1>:"" and ""<image2>:"" at the top left and bottom left, respectively.",4
43,"How many dots do all ladybirds have together?
<image1>",counting,"Draw 5 cartoon ladybirds in 2 rows on a white background, with 3 in the top row and 2 in the bottom row, spaced evenly. Each ladybird has a black head, 2 antennae, 6 legs, and a white oval body with black spots: top-left has 2 spots, top-middle has 3 spots, top-right has 3 spots, bottom-left has 5 spots, and bottom-right has 6 spots.",4
44,"Florian has 10 equally long metal strips with equally many holes.
<image1>
He bolts the metal strips together in pairs. Now he has five long strips (see the diagram).
<image2>
Which of the long strips is the shortest?",counting,"Draw a two-part diagram with a top section labeled ""<image1>:"" and a bottom section labeled ""<image2>:"". The top section contains 10 identical vertical metal strips with rounded ends, each with a centered column of small circular holes and larger holes near the top and bottom ends. The bottom section contains 5 assemblies labeled A, B, C, D, E, each formed by two strips overlapped and connected by two bolts, arranged horizontally across the section with varying angles.",4
46,"What do you see if you look at the tower, which is made up of two building blocks, exactly from above?
<image1>
<image2>",descriptive geometry,"Draw a diagram with two horizontal sections separated by a blue line. The top section contains a 3D composite solid: a cylinder with a cone on top, centered with two vertical side edges and curved arcs for the top and bottom. The bottom section contains five 2D shapes in a row: a circle, an isosceles triangle, a square, a tilted triangle, and a tall rectangle, each labeled with a letter in parentheses.",4
47,"How many numbers are outside the square?
<image1>",counting,"Draw a diagram with a large blue circle on the left and a red square on the right, overlapping in the middle. The circle contains ""52"" and ""48"" on the left side, and the overlap region contains ""9"" above ""21"". The square contains ""24"" and ""36"" on the right side. Use solid lines and black text on a white background.",4
48,"Michael has two building blocks. Each building block is made up of two cubes glued together. Which figure can he not make using the blocks?
<image1>
<image2>",combinatorial geometry,"Draw a two-panel diagram with a thick blue horizontal line separating the panels. In the top panel, labeled ""<image1>:"" in blue text, draw two identical 3D block figures, each consisting of two cubes stacked vertically. In the bottom panel, labeled ""<image2>:"" in blue text, draw five distinct 3D block figures labeled (A) through (E) in black text, arranged horizontally from left to right. Each figure should be composed of 3 or 4 cubes, with (A) as an L-shape, (B) as a cross, (C) as a 2x2 square, (D) as a stepped arrangement, and (E) as a vertical column of 4 cubes. Use a light orange color for the cubes with darker shading on the right and bottom faces, and solid black lines for the edges.",4
49,"Every one of these six building blocks consists of 5 little cubes. The little cubes are either white or grey. Cubes of equal colour don't touch each other. How many little white cubes are there in total?
<image1>",solid geometry,"Draw a 3D isometric diagram of 6 vertical blocks, each made of 5 cubes, arranged in 2 staggered rows of 3. Each block has a vertical stack of 4 cubes with a 5th cube attached to the top, protruding sideways. The cubes are either grey or white, alternating in color within each block. The blocks are positioned close together, with some overlap. Use solid thin lines and simple 3D shading, with a white background.",4
50,"Which piece is missing?
<image1>
<image2>",transformation geometry,"Draw a two-panel diagram with a blue horizontal line separating the panels. The top panel, labeled ""<image1>:"" in blue, contains a large, slanted parallelogram composed of 15 congruent, light-gray triangles with black-outlined star motifs, one of which is a blank, white triangle with a centered black question mark. The bottom panel, labeled ""<image2>:"" in blue, displays five separate, light-gray triangles with black-outlined star motifs, each labeled (A) through (E) in black, arranged horizontally.",4
51,"How many ropes can you see in this picture?
<image1>",topology,"Draw a 2D diagram of a dense, tangled knot made of multiple smooth, solid black curves that overlap and cross each other. The central tangle is surrounded by several curved ""tails"" extending outward, each terminating in a small, filled black circular dot. Include a small loop on the lower-left side, attached to one of the curves. Ensure the lines are uniformly black and of medium thickness, with no labels, numbers, axes, or shading.",4
52,"Which point in the labyrinth can we get to, starting at point $O$?
<image1>",graph theory,"Draw a circular maze with 5 concentric rings, each ring formed by a thick circular arc with gaps. Include 6 labeled points: O at the center, A in the lower-left outer ring, B in the lower-right outer ring, C near the top of the outer ring, D near the bottom slightly left of center in an inner ring, and E in the right inner ring. Add radial wall segments to create blocked passages between rings. Use solid black lines and dots on a white background.",4
53,"Max has 10 dice. Which one of the following solids can he build with them?
<image1>",combinatorial geometry,"Draw a diagram with 5 separate 3D arrangements of identical cubes, labeled (A), (B), (C), (D), and (E) below each arrangement, in a single horizontal row from left to right. Each cube should have a light tan top face, medium peach front face, and darker tan side face, with thin dark outlines. The arrangements should be as follows: (A) an L-shaped cluster, (B) a broader base with a central tower, (C) two towers connected by a bridge, (D) a tall central tower, and (E) a long horizontal row with a vertical stack.",4
55,"Gerda walks along the road and writes down the letters she can see on her right hand side. Which word is formed while Gerda walks from point 1 to point 2?
<image1>",combinatorics,"Draw a vertical rectangular outline with a narrower inner corridor-like shape, having a stepped top edge. Include small square boxes with letters ""A"", ""N"", ""K"", ""O"" (twice), ""R"", ""G"", and ""A"" outside and inside the rectangle. Add two circled numbers ""1"" and ""2"" with a small filled black dot next to ""1"" and a short upward arrow near ""1"". Position the elements as described, with ""N"" on the left, ""K"" on the right, ""A"" at top and bottom, ""O""s and ""R"" inside, and ""G"" at the bottom.",4
56,"Konrad has some pieces of cardboard which all look like this:
<image1>
Which of the shapes below can he not make out of these pieces?
<image2>",combinatorial geometry,"Draw a diagram with two sections separated by a thick blue horizontal line. The top section contains a single T-shaped polyomino made of 4 equal unit squares, labeled ""<image1>:"" in blue text at the top left. The bottom section, labeled ""<image2>:"" in blue text, contains five polyominoes labeled (A) through (E) from left to right, each made of unit squares with black outlines and white interiors.",4
59,"<image1>
In the picture above we see a cube in two different positions.
The six sides of the cube look like this:
<image2>
Which side is opposite to <image3>?
<image4>",solid geometry,"Draw a four-panel vertical diagram with thick blue horizontal lines separating each panel. In the top panel, labeled ""<image1>:"" in blue, draw two 3D cubes side by side with various face patterns. The second panel, labeled ""<image2>:"", contains six small square icons in a row with different internal patterns. The third panel, labeled ""<image3>:"", has a single centered small square icon. The bottom panel, labeled ""<image4>:"", displays five small square icons in a row, each with a letter label (A)-(E) below it. Use solid black lines for all shapes and blue for labels and separator lines.",4
61,"Into how many pieces will the string be cut?
<image1>",counting,"Draw a diagram with a continuous curved line forming a large spiral loop on the left, a wavy segment in the center, and a small oval loop on the top-right, intersected by a diagonal dashed line from the bottom-left to the top-right, where a pair of scissors is positioned, with all elements drawn in black on a white background.",4
62,"How many blocks are missing in this igloo?
<image1>",counting,"Draw a 2D semicircular structure made of rectangular blocks, with a solid dark gray outline and thin medium gray lines defining the blocks. The blocks are arranged in horizontal rows, following a staggered brick pattern, with a large irregular white gap in the middle. The structure has a flat base and a curved top, with no text, labels, or measurements. The blocks are uniformly sized, with a width-to-height ratio of approximately 2:1, and are filled with a light gray color. The background is white.",4
63,"This picture shows a bracelet with pearls.
<image1>
Which of the bands below shows the same bracelet as above?
<image2>",topology,"Draw a diagram with two sections separated by a thick blue horizontal line. The top section, labeled ""<image1>:"" in blue, contains a small, vertically oriented loop with four circles: a filled black circle at the top, two unfilled white circles in the middle, and a filled black circle at the bottom. The bottom section, labeled ""<image2>:"", contains five large circular loops labeled (A) through (E) with four small circles each, arranged along the bottom of each loop with varying patterns of filled black and unfilled white circles.",4
64,"Four of the numbers 1,3,4,5 and 7 are written into the boxes so that the calculation is correct.
Which number was not used?
<image1>",arithmetic,"Draw a horizontal mathematical equation with 4 identical empty square boxes, connected by 2 plus signs and 1 equals sign, in the order: box, plus, box, equals, box, plus, box. All elements are aligned on a common horizontal axis with uniform spacing, on a white background with black lines.",4
65,"Jim and Ben are sitting in a ferris wheel (see picture on the right). The ferris wheel is turning. Now Ben is in the position where Jim was beforehand. Where is Jim now?
<image1>
<image2>",transformation geometry,"Draw a Ferris wheel diagram with a central hub and 6 thin spokes radiating outwards, each ending in a small circular joint. Attach a semicircular gondola to each joint. Add two thick support legs forming an ""A"" shape beneath the hub. Label one gondola ""BEN"" at the top and another ""JIM"" at the lower-left. Below this diagram, draw 5 smaller Ferris wheel diagrams labeled (A) to (E), each with one gondola and ""JIM"" label, positioned as follows: (A) top, (B) upper-right, (C) lower-right, (D) upper-left, (E) bottom.",4
66,"Alfred turns his building block 10 times. The first three times can be seen in the picture.
What is the final position of the building block?
<image1>
<image2>",transformation geometry,"Draw a diagram with two sections separated by a horizontal blue line. The top section, labeled ""<image1>:"", contains four 7-square polyominoes arranged left-to-right, with curved arrows labeled 1, 2, and 3 above the gaps between them. The bottom section, labeled ""<image2>:"", contains five polyominoes labeled (A) through (E), each with a different color arrangement of light blue, white, orange, and red squares.",4
67,"In which picture are there half as many circles as triangles and twice as many squares as triangles?
<image1>",counting,"Draw a diagram with 5 horizontal ovals labeled (A), (B), (C), (D), (E) from left to right. Each oval contains various numbers of squares, circles, and triangles. Oval (A) has 2 squares, 2 circles, and 4 triangles. Oval (B) has 5 squares, 5 circles, and 2 triangles. Oval (C) has 5 squares, 2 circles, and 4 triangles. Oval (D) has 5 squares, 1 circle, and 3 triangles. Oval (E) has 4 squares, 1 circle, and 2 triangles. All shapes are black outlines on a white background.",4
69,"Lisa has several sheets of construction paper like this
<image1>
and
<image2>
She wants to make 7 identical crowns:
<image3>
For that she cuts out the necessary parts.
What is the minimum number of sheets of construction paper that she has to cut up?",arithmetic,"Draw three separate diagrams stacked vertically, each preceded by a blue label (<image1>:, <image2>:, <image3>:). 
<image1> contains a thin black rectangle with two thick horizontal bars, a filled circle in the upper-right, and a plus sign in the lower-right. 
<image2> contains a thin black rectangle with five filled circles and three plus signs arranged in two rows. 
<image3> contains a plus sign above a row of four filled circles, with a thick horizontal bar below the circles.",4
70,"Simon has two identical tiles, whose front look like this: The back is white.
<image1>
Which pattern can he make with those two tiles?
<image2>",descriptive geometry,"Draw a diagram with two main sections separated by a thick blue horizontal line. The top section is labeled ""<image1>:"" in blue text and contains two 4-square tile patterns side by side, each with one black square and three white squares. The bottom section is labeled ""<image2>:"" in blue text and contains five patterns labeled (A) through (E), each made up of unit squares with some filled black and others white, arranged in specific configurations.",4
71,"Each one of the four keys locks exactly one padlock. Every letter on a padlock stands for exactly one digit. Same letters mean same digits.
Which letters must be written on the fourth padlock?
<image1>",logic,"Draw a diagram with 2 rows. The top row has 4 identical padlocks with labels ""ADA"", ""DGA"", ""DAG"", and a red ""?"" from left to right. The bottom row has 4 identical keys with labels ""141"", ""717"", ""417"", ""471"" from left to right, each positioned under a corresponding padlock. Each padlock has a grey shackle and white body with black outline, and each key has a grey shaft and circular head with black text.",4
72,"Alice draws lines between the beetles. She starts with the beetle with the fewest points. Then she continues drawing to the beetle with one more point. Which figure is formed?
<image1>
<image2>",counting,"Draw a diagram with two sections, labeled ""<image1>:"" and ""<image2>:"", separated by a thin blue horizontal line. In ""<image1>"", arrange five ladybugs in a pentagon-like pattern with varying black spots. In ""<image2>"", draw five geometric figures labeled (A) through (E): a star, an open pentagon, a skewed quadrilateral, a triangular shape, and a zigzag polyline. Use solid black lines for figures and blue text for labels.",4
75,"Peter has drawn this pattern:
<image1>
He draws exactly the same pattern once more.
Which point is on his drawing?",combinatorial geometry,"Draw a wide horizontal rectangle with a light grey square grid. On the left and center, create a pattern of thick black horizontal and vertical line segments connecting small black circular dots, forming a sequence of rectangular ""∩""-like shapes in decreasing size, then repeating. To the right of the pattern, place five isolated dark grey dots with labels A, B, C, D, E, positioned below and to the right of each dot.",4
76,"Theodor has built this tower made up of discs. He looks at the tower from above. How many discs does he see?
<image1>",descriptive geometry,"Draw a 2D representation of a 3D tower made of 6 stacked discs, with a vertical dashed line through the center, and a solid horizontal baseline at the bottom. The discs vary in width, with the narrowest at the top and the widest at the bottom, and are centered on each other. The image is in black and white, with solid black outlines and no labels or text.",4
77,"This diagram shows two see-through sheets. You place the sheets on top of each other.Which pattern do you get?
<image1>
<image2>",combinatorial geometry,"Draw a two-part diagram with a thick horizontal blue line separating the sections. The top section, labeled ""<image1>:"" in blue, contains two squares side by side, each with internal line segments and dots. The bottom section, labeled ""<image2>:"" in blue, contains five squares in a row, labeled (A) through (E), each with a unique arrangement of line segments and dots. Use solid black lines, thin gray square borders, and blue text for labels, on a white background.",4
78,"In order to get to his bone, the dog has to follow the black line. In total he turns 3-times to the right and 2-times to the left.
Which path does he take?
<image1>",counting,"Draw a horizontal row of 5 square-grid panels, each with a 4x4 grid and labeled (A) through (E) below. In each panel, include a thick black orthogonal path, a small light-gray cartoon dog icon, and a small light-gray bone icon. Position the dog and bone icons and draw the paths as follows: 
(A) dog upper-left, bone lower-right, path descends in steps; 
(B) dog middle-left, bone upper-right, path dips then rises; 
(C) dog lower-middle, bone upper-left, path forms a boxy step; 
(D) dog lower-left, bone upper-right, path zigzags upward; 
(E) dog upper-left, bone lower-right, path descends in steps.",4
79,"Lisa needs exactly 3 pieces to complete her jigsaw.
Which of the 4 pieces is left over?
<image1>
<image2>",combinatorial geometry,"Draw a diagram with two sections, separated by a thin blue line. The top section contains a gray rectangle with a white jigsaw puzzle piece outline, featuring 3 circular tabs on the top and bottom edges and 1 semicircular indentation on each side. The bottom section displays four colored puzzle pieces (cyan, magenta, green, and black) labeled A, B, C, and D, each with unique tab and hole configurations, arranged horizontally below their respective labels.",4
80,"Charles cuts a rope into 3 equally long pieces. Then he makes one knot in one of the pieces, 2 in the next and in the third piece 3 knots. Then he lays the three pieces down in a random order. Which picture does he see?
<image1>",metric geometry - length,"Draw a horizontal arrangement of 5 multiple-choice options labeled (A) through (E), each containing 3 separate, parallel, horizontal rope segments stacked vertically. The ropes are tan/light brown with darker diagonal striping and textured to suggest twisted rope, with knots depicted as small, rounded bulges. Each option has a unique arrangement of knots on the ropes.",4
82,"The number of spots on the fly agarics (toadstools) shows how many dwarfs fit under it. We can see one side of the fungi. The other side has the same amount of spots. When it rains 36 dwarfs are trying to hide under the fungi. How many dwarfs get wet?
<image1>",arithmetic,"Draw a horizontal row of 4 cartoon-style mushroom illustrations on a white background. Each mushroom has a bright red, dome-shaped cap with white circular spots and a light cream/off-white stem. The spot counts from left to right are: 4, 3, 5, and 3. The mushrooms are evenly spaced and of consistent size, with solid black outlines and no additional text or graphics.",4
83,"Susi makes this pattern using ice-lolly sticks. Each stick is $5 \mathrm{~cm}$ long and $1 \mathrm{~cm}$ wide. How long is Susi's pattern?
<image1>",combinatorial geometry,"Draw a diagram with a single horizontal ice-lolly stick at the top, labeled ""5 cm"" below and ""1 cm"" to the right. Below this, create a chain-like pattern of identical sticks, arranged horizontally and vertically, forming three rectangular openings. The pattern should have vertical sticks at the ends and between the openings, with horizontal sticks forming top and bottom rails and passing through each opening. Use a light beige fill color for the sticks, black outlines, and a white background.",4
84,"The road from Anna's to Mary's house is $16 \mathrm{~km}$ long. The road from Mary's to John's house is $20 \mathrm{~km}$ long. The road from the crossing to Mary's house is $9 \mathrm{~km}$ long. How long is the road from Anna's to John's house?
<image1>",arithmetic,"Draw a diagram with 3 orange house icons labeled ""Anna"" (left), ""Mary"" (upper right), and ""John"" (lower right), connected by a curved road network with a central junction, where one branch curves to each house, on a white background.",4
85,"Which of these clouds contain only numbers that are smaller than 7 ?
<image1>",arithmetic,"Draw a diagram with 5 cloud-shaped figures labeled (A) through (E) in a horizontal row. Each cloud contains 4 numbers: (A) 1, 6, 8, 7; (B) 2, 5, 3, 9; (C) 2, 6, 4, 7; (D) 3, 1, 2, 5; (E) 8, 10, 9, 7. The clouds have thin black outlines and light grey fills with horizontal lines. The labels and numbers are in black.",4
86,"Which of the 5 pictures shows a part of this chain?
<image1>
<image2>",combinatorial geometry,"Draw a two-panel diagram with a thick blue horizontal line separating the panels. The top panel contains a closed loop of 12 identical circles, arranged in an oval shape, with each circle filled with one of three shades: black, white, or medium gray, in a specific sequence. The bottom panel contains five separate horizontal chains of three circles each, labeled (A) through (E), with each chain having a specific sequence of black, white, and gray fills, and thin horizontal lines connecting the circles.",4
90,"Five equally big square pieces of card are placed on a table on top of each other. The picture on the side is created this way. The cards are collected up from top to bottom. In which order are they collected?
<image1>",descriptive geometry,"Draw a square diagram with 5 labeled rectangular regions of varying shades of gray. The regions are arranged as follows: light gray (Region 1) in the upper-left, very light gray (Region 4) in the upper-right, white (Region 3) as a horizontal rectangle across the middle, medium gray (Region 2) in the lower-left, and dark gray (Region 5) in the lower-right. Each region is labeled with a bold number (1-5) in the respective corners. The regions are separated by solid black lines, with a thick horizontal line dividing the top and bottom sections.",4
91,The floor of a room is covered with equally big rectangular tiles (see picture). How long is the room? <image1>,combinatorial geometry,"Draw a large, portrait-oriented rectangle with a solid gray border, subdivided into smaller rectangles of equal size, arranged in a woven pattern with varying orientations. Include a vertical double-headed arrow to the right, with a ""?"" near its middle, and the text ""1 m"" at the bottom-left outside the rectangle.",4
92,"The picture shows a mouse and a piece of cheese. The mouse is only allowed to move to the neighbouring fields in the direction of the arrows. How many paths are there from the mouse to the cheese?
<image1>",combinatorics,Draw a 3x3 grid with 9 equal square cells and solid black lines. Include a simple mouse head drawing in the top-left cell and a cheese wedge drawing in the bottom-right cell. Add a thick black horizontal arrow above the grid pointing right and a thick black vertical arrow to the left of the grid pointing down.,4
93,"Which of the figures can be cut into these 3 pieces?
<image1>
<image2>",combinatorial geometry,"Draw a diagram with two horizontal sections separated by a thick blue line. In the top section, labeled ""<image1>:"" in blue, place three light-gray filled shapes: a curved semicircular-like shape with a straight diagonal edge, a vertical semicircle, and a right triangle. In the bottom section, labeled ""<image2>:"" in blue, arrange five light-gray filled shapes labeled (A) to (E) in black: a three-lobed clover, a circle, a heart, a rectangle, and a rounded-bottom rectangle.",4
94,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle? <image1>",metric geometry - length,"Draw a 2D schematic diagram of a sandcastle with a flagpole, including a horizontal grey ground strip at the bottom, a large light-grey mound representing the sandcastle, and a thin vertical black flagpole extending from the mound. Label the left side with a vertical ""16 m"" and a shorter ""6 m"" below it, and include a question mark on the right side with a vertical double-headed arrow. Add a wavy grey flag at the top of the flagpole and several horizontal black reference lines for measurements.",4
